Jordan Lucas,Dolphins,2016,4,"$2,459,964","$614,991"
Rashard Robinson,Jets,2016,4,"$2,453,388","$613,347"
Rashard Robinson,49ers,2016,4,"$2,453,388","$613,347"
Maurice Canady,Ravens,2016,4,"$2,440,356","$610,089"
Kevon Seymour,BUF/CAR,2016,4,"$2,440,356","$610,089"
Jalen Mills,Eagles,2016,4,"$2,416,856","$604,214"
Ross Cockrell,Steelers,2016,1,"$600,000","$600,000"
Steve Williams,LAR/LAC,2016,1,"$600,000","$600,000"
Richard Crawford,Chargers,2016,1,"$600,000","$600,000"
Isaiah Frey,Steelers,2016,1,"$600,000","$600,000"
Mario Butler,Bills,2016,1,"$600,000","$600,000"
Jumal Rolle,Ravens,2016,1,"$600,000","$600,000"
Pierre Desir,Chargers,2016,1,"$600,000","$600,000"
Zack Sanchez,Panthers,2016,4,"$2,340,000","$585,000"
Dexter McDougle,Jets,2016,2,"$1,140,000","$570,000"
Dashaun Phillips,Commanders,2016,2,"$1,140,000","$570,000"
Dexter McDougle,Eagles,2016,2,"$1,140,000","$570,000"
D'Joun Smith,Titans,2016,2,"$1,140,000","$570,000"
Dashaun Phillips,Steelers,2016,2,"$1,140,000","$570,000"
Deji Olatoye,Falcons,2016,2,"$1,140,000","$570,000"
Denzel Rice,Texans,2016,2,"$1,140,000","$570,000"
Nick Marshall,Jets,2016,2,"$1,140,000","$570,000"
Troy Hill,Rams,2016,2,"$1,140,000","$570,000"
Chance Casey,Jaguars,2016,2,"$1,140,000","$570,000"
DeAndre Elliott,Seahawks,2016,3,"$1,630,000","$543,333"
Elie Bouka,Cardinals,2016,3,"$1,630,000","$543,333"
Cre'Von LeBlanc,Bears,2016,3,"$1,630,000","$543,333"
Jonathan Jones,Patriots,2016,3,"$1,630,000","$543,333"
Jeremiah McKinnon,Cowboys,2016,3,"$1,627,500","$542,500"
Antonio Hamilton,LV/NYG,2016,3,"$1,625,500","$541,833"
Lloyd Carrington,Commanders,2016,3,"$1,625,000","$541,667"
Vernon Harris,Chiefs,2016,3,"$1,625,000","$541,667"
Ken Crawley,Saints,2016,3,"$1,625,000","$541,667"
De'Vante Harris,Saints,2016,3,"$1,624,000","$541,333"
Cleveland Wallace III,49ers,2016,3,"$1,623,500","$541,167"
Josh Hawkins,Packers,2016,3,"$1,623,500","$541,167"
Brian Poole,Falcons,2016,3,"$1,623,500","$541,167"
Ian Wells,Lions,2016,3,"$1,623,000","$541,000"
David Mims II,Falcons,2016,3,"$1,620,000","$540,000"
Michael Jordan,Browns,2016,3,"$1,620,000","$540,000"
John Tidwell,Broncos,2016,3,"$1,620,000","$540,000"
Tre Jones,Chiefs,2016,3,"$1,620,000","$540,000"
Malcolm Jackson,Chiefs,2016,3,"$1,620,000","$540,000"
Trevor Williams,Chargers,2016,3,"$1,620,000","$540,000"
Warren Gatewood,Packers,2016,3,"$1,620,000","$540,000"
Richard Leonard,Texans,2016,3,"$1,620,000","$540,000"
Michael Jordan,Giants,2016,3,"$1,620,000","$540,000"
Keith Baxter,Vikings,2016,3,"$1,620,000","$540,000"
Bennett Okotcha,Titans,2016,3,"$1,620,000","$540,000"
Kalan Reed,Titans,2016,3,"$1,620,000","$540,000"
Darius White,Colts,2016,3,"$1,620,000","$540,000"
Randall Jette,Packers,2016,3,"$1,620,000","$540,000"
Makinton Dorleant,Packers,2016,3,"$1,620,000","$540,000"
V'Angelo Bentley,Patriots,2016,3,"$1,620,000","$540,000"
Eric Rawls,Vikings,2016,3,"$1,620,000","$540,000"
Terrell Chestnut,Chargers,2016,3,"$1,620,000","$540,000"
