player,team,archetype,archetype_stable,latest_season,latest_grade,latest_cov_grade,qb_rating_against,yards_per_cov_snap,playmaking_rate,outside_rate,slot_rate,old_apy,est_cap_units_median,est_apy_low,est_apy_mid,est_apy_high,comparable_n,used_grade_band,mkt_cap_units_median,mkt_apy_low,mkt_apy_mid,mkt_apy_high,mkt_comparable_n,used_grade_band_mkt,market_premium_pct
Michael Davis,Saints,Replacement-level CB,False,2023,56.5,54.3,119.8,1.5,0.086021505376344,0.873589164785553,0.0214446952595936,1255000.0,0.6636406954126652,1330679.9029204373,1998885.7745829478,5559873.180838493,118,True,3.6506586667803522,7300899.605202703,10995783.90434242,17078140.033695016,36,True,2.987017971367687
Damarri Mathis,Panthers,Replacement-level CB,False,2023,35.2,36.7,135.9,1.6,0.025,0.8795454545454545,0.0272727272727272,1100000.0,0.582625,1342259.0451467268,1754866.5,3662353.5859598857,17,True,3.6506586667803522,5692234.091050056,10995783.90434242,17918196.626864757,60,False,3.0680336667803525
Amani Oruwariye,Ravens,Replacement-level CB,False,2022,30.0,31.3,130.6,1.8,0.0576923076923076,0.8565400843881856,0.0358649789029535,315000.0,0.6903874867527574,1357156.4888535738,2079447.1100993054,5654798.738575983,182,False,3.6506586667803522,5692234.091050056,10995783.90434242,17918196.626864757,60,False,2.9602711800275947
Kris Boyd,Jets,Replacement-level CB,True,2020,55.8,50.3,121.3,1.7,0.0588235294117647,0.9358600583090378,0.0058309037900874,1600000.0,0.6949150684931507,1353590.35813839,2093084.18630137,5692234.091050056,122,True,3.5816618911174785,6708009.0940664215,10787965.616045844,17191476.51119407,39,True,2.886746822624328
Arthur Maulet,Lions,Slot specialist,True,2023,68.6,64.2,85.8,1.4,0.0576923076923076,0.0436681222707423,0.8471615720524017,315000.0,0.6503578959453625,1263269.1429582753,1958877.982587432,5652300.232381955,96,True,3.5778887898025316,7112979.617684649,10776601.034885226,12871997.006005336,30,True,2.927530893857169
Tre Herndon,Colts,Slot specialist,False,2023,70.8,73.1,119.7,1.4,0.1052631578947368,0.0290456431535269,0.8796680497925311,1170000.0,0.9656285587188612,1377580.5878962537,2908473.21886121,7598385.4692230085,89,True,3.574115688487585,7337172.37439224,10765236.453724606,12798435.272755658,31,True,2.608487129768724
Tavierre Thomas,Vikings,Slot specialist,False,2023,72.2,69.5,110.6,1.6,0.0512820512820512,0.002840909090909,0.8607954545454546,2000000.0,0.9798087141339,1352429.76121675,2951183.846971307,8359630.5906242635,79,True,3.574115688487585,8002125.39851222,10765236.453724606,12651311.806256305,29,True,2.5943069743536853
Roger McCreary,LAR/TEN,Slot specialist,True,2025,72.1,72.0,108.1,1.1,0.088235294117647,0.1298076923076923,0.6971153846153846,2291404.0,0.9798087141339,1352429.76121675,2951183.846971307,8359630.5906242635,79,True,3.574115688487585,8002125.39851222,10765236.453724606,12651311.806256305,29,True,2.5943069743536853
Mike Hilton,Colts,Slot specialist,True,2024,75.8,68.4,105.6,1.1,0.05,0.0,0.8371777476255088,315000.0,0.8499346123727486,1327278.934537246,2560003.052466719,8881320.54176072,57,True,3.558718861209965,8039145.907473311,10718861.209964413,12378082.19178082,21,True,2.7087842488372162
Kyler Gordon,Bears,Slot specialist,True,2024,76.0,76.0,102.4,1.3,0.1052631578947368,0.005524861878453,0.6712707182320442,2170733.0,0.8353190253840821,1325435.104401806,2515980.9044568553,8249689.566045162,56,True,3.5452524679410065,8029890.7802330395,10678300.43343831,12446389.595399693,20,True,2.7099334425569244
Marcus Jones,Patriots,Slot specialist,False,2025,73.4,74.2,107.4,1.1,0.127906976744186,0.0662983425414364,0.7215469613259669,1294238.0,0.9903491969246013,1383897.7696893136,2982931.7811368993,8519872.932199739,78,True,3.5452524679410065,7699320.45154531,10678300.43343831,12231878.010319563,30,True,2.5549032710164052
Damon Arnette,Texans,Replacement-level CB,True,2020,41.7,37.5,129.2,2.0,0.0625,0.8950437317784257,0.0437317784256559,234000.0,0.7052364917776037,1503865.4189506653,2124172.3132341425,5396783.295711061,49,True,3.4537725823591923,5396783.295711061,10402763.018065887,15678904.109589042,17,True,2.7485360905815885
Marco Wilson,Bengals,Replacement-level CB,False,2023,41.7,40.4,137.9,2.0,0.0606060606060606,0.8508522727272727,0.0056818181818181,1520000.0,0.7052364917776037,1503865.4189506653,2124172.3132341425,5396783.295711061,49,True,3.4537725823591923,5396783.295711061,10402763.018065887,15678904.109589042,17,True,2.7485360905815885
